ordem_codigo,data_fabricacao,data_validade,status
OP-2026-0079,2026-03-07,2027-03-07,DISPONIVEL
OP-2026-0080,2026-03-19,2031-03-19,CONSUMIDO
OP-2026-0081,2026-03-13,2031-03-13,DISPONIVEL
OP-2026-0082,2026-03-13,2027-03-13,DISPONIVEL
OP-2026-0083,2026-03-11,2031-03-11,DISPONIVEL
OP-2026-0084,2026-03-17,2031-03-17,CONSUMIDO
OP-2026-0085,2026-03-18,2031-03-18,BLOQUEADO
OP-2026-0086,2026-03-24,2030-03-24,DISPONIVEL
OP-2026-0087,2026-03-21,2031-03-21,CONSUMIDO
OP-2026-0088,2026-03-23,2031-03-23,CONSUMIDO
OP-2026-0089,2026-03-23,2031-03-23,CONSUMIDO
OP-2026-0090,2026-03-13,2029-03-13,CONSUMIDO
OP-2026-0091,2026-03-16,2027-03-16,DISPONIVEL
OP-2026-0092,2026-03-23,2031-03-23,CONSUMIDO
OP-2026-0093,2026-03-21,2031-03-21,CONSUMIDO
OP-2026-0094,2026-03-28,2031-03-28,DISPONIVEL
OP-2026-0095,2026-03-29,2031-03-28,CONSUMIDO
OP-2026-0096,2026-03-30,2031-03-28,CONSUMIDO
OP-2026-0097,2026-04-05,2029-04-05,CONSUMIDO
OP-2026-0098,2026-04-03,2031-04-03,CONSUMIDO
OP-2026-0099,2026-03-29,2031-03-28,CONSUMIDO
OP-2026-0100,2026-04-02,2031-04-02,DISPONIVEL
OP-2026-0102,2026-04-05,2029-04-05,CONSUMIDO
OP-2026-0103,2026-03-27,2029-03-27,CONSUMIDO
OP-2026-0104,2026-04-02,2031-04-02,CONSUMIDO
OP-2026-0106,2026-04-06,2031-04-06,CONSUMIDO
OP-2026-0107,2026-04-04,2027-04-04,DISPONIVEL
OP-2026-0108,2026-04-05,2027-04-05,DISPONIVEL
OP-2026-0109,2026-04-12,2029-04-12,CONSUMIDO
OP-2026-0110,2026-04-10,2030-04-10,DISPONIVEL
OP-2026-0111,2026-04-09,2029-04-09,CONSUMIDO
OP-2026-0112,2026-04-15,2031-04-15,DISPONIVEL
OP-2026-0113,2026-04-13,2031-04-13,CONSUMIDO
OP-2026-0114,2026-04-17,2031-04-17,CONSUMIDO
OP-2026-0115,2026-04-15,2031-04-15,DISPONIVEL
OP-2026-0116,2026-04-17,2031-04-17,CONSUMIDO
OP-2026-0117,2026-04-14,2031-04-14,CONSUMIDO
OP-2026-0119,2026-04-17,2027-04-17,DISPONIVEL
OP-2026-0120,2026-04-17,2027-04-17,DISPONIVEL
OP-2026-0122,2026-04-28,2030-04-28,DISPONIVEL
OP-2026-0123,2026-04-24,2031-04-24,CONSUMIDO
OP-2026-0124,2026-04-24,2031-04-24,CONSUMIDO
OP-2026-0125,2026-04-28,2031-04-28,CONSUMIDO
OP-2026-0126,2026-04-26,2031-04-26,CONSUMIDO
OP-2026-0127,2026-04-29,2031-04-28,CONSUMIDO
OP-2026-0364,2026-04-20,2027-04-20,DISPONIVEL
OP-2026-0128,2026-04-30,2031-04-28,CONSUMIDO
OP-2026-0129,2026-04-30,2031-04-28,CONSUMIDO
OP-2026-0130,2026-04-30,2031-04-28,CONSUMIDO
OP-2026-0131,2026-05-04,2029-05-04,CONSUMIDO
OP-2026-0132,2026-05-01,2029-05-01,CONSUMIDO
OP-2026-0133,2026-05-02,2029-05-02,CONSUMIDO
OP-2026-0134,2026-05-09,2031-05-09,CONSUMIDO
OP-2026-0135,2026-05-08,2031-05-08,CONSUMIDO
OP-2026-0136,2026-05-04,2030-05-04,DISPONIVEL
OP-2026-0137,2026-05-06,2027-05-06,DISPONIVEL
OP-2026-0138,2026-05-13,2031-05-13,CONSUMIDO
OP-2026-0139,2026-05-08,2027-05-08,DISPONIVEL
OP-2026-0140,2026-05-14,2031-05-14,DISPONIVEL
OP-2026-0141,2026-05-12,2031-05-12,CONSUMIDO
OP-2026-0142,2026-05-14,2031-05-14,DISPONIVEL
OP-2026-0143,2026-05-07,2029-05-07,CONSUMIDO
OP-2026-0144,2026-05-18,2031-05-18,CONSUMIDO
OP-2026-0145,2026-05-18,2031-05-18,CONSUMIDO
OP-2026-0147,2026-05-13,2029-05-13,CONSUMIDO
OP-2026-0148,2026-05-23,2031-05-23,CONSUMIDO
OP-2026-0149,2026-05-19,2031-05-19,DISPONIVEL
OP-2026-0150,2026-05-24,2031-05-24,CONSUMIDO
OP-2026-0151,2026-05-18,2027-05-18,DISPONIVEL
OP-2026-0152,2026-05-23,2031-05-23,CONSUMIDO
OP-2026-0153,2026-05-20,2027-05-20,DISPONIVEL
OP-2026-0154,2026-05-26,2030-05-26,DISPONIVEL
OP-2026-0155,2026-05-25,2031-05-25,CONSUMIDO
OP-2026-0156,2026-05-27,2029-05-27,CONSUMIDO
OP-2026-0157,2026-05-25,2029-05-25,CONSUMIDO
OP-2026-0158,2026-05-26,2031-05-26,CONSUMIDO
OP-2026-0159,2026-05-27,2029-05-27,CONSUMIDO
OP-2026-0160,2026-06-01,2031-06-01,CONSUMIDO
OP-2026-0161,2026-05-25,2031-05-25,CONSUMIDO
OP-2026-0162,2026-05-27,2031-05-27,CONSUMIDO
OP-2026-0163,2026-06-03,2031-06-03,CONSUMIDO
OP-2026-0164,2026-05-30,2029-05-28,CONSUMIDO
OP-2026-0165,2026-05-31,2031-05-28,CONSUMIDO
OP-2026-0166,2026-05-31,2029-05-28,CONSUMIDO
OP-2026-0167,2026-05-30,2031-05-28,CONSUMIDO
OP-2026-0168,2026-06-02,2027-06-02,DISPONIVEL
OP-2026-0169,2026-05-30,2027-05-28,DISPONIVEL
OP-2026-0170,2026-06-02,2029-06-02,CONSUMIDO
OP-2026-0171,2026-06-08,2031-06-08,CONSUMIDO
OP-2026-0172,2026-06-09,2031-06-09,CONSUMIDO
OP-2026-0173,2026-06-09,2031-06-09,DISPONIVEL
OP-2026-0174,2026-06-11,2031-06-11,DISPONIVEL
OP-2026-0175,2026-06-06,2027-06-06,DISPONIVEL
OP-2026-0176,2026-06-11,2031-06-11,CONSUMIDO
OP-2026-0177,2026-06-12,2029-06-12,CONSUMIDO
OP-2026-0178,2026-06-14,2031-06-14,CONSUMIDO
OP-2026-0179,2026-06-10,2027-06-10,DISPONIVEL
OP-2026-0180,2026-06-13,2031-06-13,CONSUMIDO
OP-2026-0181,2026-06-14,2030-06-14,DISPONIVEL
OP-2026-0182,2026-06-16,2031-06-16,CONSUMIDO
OP-2026-0365,2026-06-12,2031-06-12,DISPONIVEL
OP-2026-0183,2026-06-18,2031-06-18,BLOQUEADO
OP-2026-0184,2026-06-20,2031-06-20,DISPONIVEL
OP-2026-0185,2026-06-23,2031-06-23,CONSUMIDO
OP-2026-0187,2026-06-20,2031-06-20,CONSUMIDO
OP-2026-0188,2026-06-22,2031-06-22,CONSUMIDO
OP-2026-0189,2026-06-16,2027-06-16,DISPONIVEL
OP-2026-0190,2026-06-22,2030-06-22,DISPONIVEL
OP-2026-0191,2026-06-20,2031-06-20,CONSUMIDO
OP-2026-0192,2026-06-20,2029-06-20,CONSUMIDO
OP-2026-0366,2026-06-20,2030-06-20,DISPONIVEL
OP-2026-0193,2026-06-26,2031-06-26,CONSUMIDO
OP-2026-0194,2026-06-23,2031-06-23,CONSUMIDO
OP-2026-0195,2026-07-02,2031-07-02,CONSUMIDO
OP-2026-0196,2026-06-27,2031-06-27,CONSUMIDO
OP-2026-0197,2026-07-02,2031-07-02,CONSUMIDO
OP-2026-0198,2026-07-03,2031-07-03,CONSUMIDO
OP-2026-0199,2026-07-05,2031-07-05,CONSUMIDO
OP-2026-0200,2026-07-07,2029-07-07,CONSUMIDO
OP-2026-0201,2026-07-05,2031-07-05,DISPONIVEL
OP-2026-0202,2026-07-04,2031-07-04,CONSUMIDO
OP-2026-0203,2026-07-08,2031-07-08,CONSUMIDO
OP-2026-0204,2026-07-02,2029-07-02,CONSUMIDO
OP-2026-0205,2026-06-30,2029-06-28,CONSUMIDO
OP-2026-0206,2026-07-08,2031-07-08,CONSUMIDO
OP-2026-0207,2026-07-07,2031-07-07,CONSUMIDO
OP-2026-0208,2026-07-10,2031-07-10,CONSUMIDO
OP-2026-0209,2026-07-07,2031-07-07,CONSUMIDO
OP-2026-0210,2026-07-09,2031-07-09,CONSUMIDO
OP-2026-0211,2026-07-13,2031-07-13,DISPONIVEL
OP-2026-0212,2026-07-12,2031-07-12,DISPONIVEL
OP-2026-0213,2026-07-10,2027-07-10,DISPONIVEL
OP-2026-0214,2026-07-14,2030-07-14,DISPONIVEL
OP-2026-0215,2026-07-08,2027-07-08,DISPONIVEL
OP-2026-0216,2026-07-13,2031-07-13,CONSUMIDO
OP-2026-0217,2026-07-12,2029-07-12,CONSUMIDO
OP-2026-0218,2026-07-22,2031-07-22,CONSUMIDO
OP-2026-0219,2026-07-16,2031-07-16,CONSUMIDO
OP-2026-0220,2026-07-18,2031-07-18,DISPONIVEL
OP-2026-0221,2026-07-23,2031-07-23,CONSUMIDO
OP-2026-0222,2026-07-22,2031-07-22,DISPONIVEL
OP-2026-0223,2026-07-20,2031-07-20,CONSUMIDO
OP-2026-0224,2026-07-17,2031-07-17,CONSUMIDO
OP-2026-0225,2026-07-19,2027-07-19,DISPONIVEL
OP-2026-0226,2026-07-26,2031-07-26,CONSUMIDO
OP-2026-0227,2026-07-27,2031-07-27,CONSUMIDO
OP-2026-0228,2026-07-26,2029-07-26,CONSUMIDO
OP-2026-0229,2026-07-25,2031-07-25,DISPONIVEL
OP-2026-0230,2026-08-04,2031-08-04,CONSUMIDO
OP-2026-0231,2026-08-01,2031-08-01,CONSUMIDO
OP-2026-0232,2026-08-05,2031-08-05,CONSUMIDO
OP-2026-0233,2026-07-30,2031-07-28,CONSUMIDO
OP-2026-0234,2026-08-02,2031-08-02,CONSUMIDO
OP-2026-0235,2026-08-02,2031-08-02,CONSUMIDO
OP-2026-0236,2026-08-04,2031-08-04,CONSUMIDO
OP-2026-0237,2026-07-31,2029-07-28,CONSUMIDO
OP-2026-0238,2026-08-06,2031-08-06,CONSUMIDO
OP-2026-0239,2026-08-03,2031-08-03,CONSUMIDO
OP-2026-0240,2026-08-02,2029-08-02,CONSUMIDO
OP-2026-0241,2026-08-04,2031-08-04,CONSUMIDO
OP-2026-0242,2026-08-06,2029-08-06,CONSUMIDO
OP-2026-0243,2026-08-09,2031-08-09,CONSUMIDO
OP-2026-0244,2026-08-12,2031-08-12,CONSUMIDO
OP-2026-0245,2026-08-10,2031-08-10,CONSUMIDO
OP-2026-0246,2026-08-07,2027-08-07,DISPONIVEL
OP-2026-0247,2026-08-12,2031-08-12,CONSUMIDO
OP-2026-0248,2026-08-10,2027-08-10,DISPONIVEL
OP-2026-0249,2026-08-14,2030-08-14,DISPONIVEL
OP-2026-0250,2026-08-14,2031-08-14,DISPONIVEL
OP-2026-0251,2026-08-12,2031-08-12,CONSUMIDO
OP-2026-0252,2026-08-12,2029-08-12,CONSUMIDO
OP-2026-0253,2026-08-15,2031-08-15,DISPONIVEL
OP-2026-0254,2026-08-10,2031-08-10,CONSUMIDO
OP-2026-0255,2026-08-13,2031-08-13,CONSUMIDO
OP-2026-0257,2026-08-21,2031-08-21,DISPONIVEL
OP-2026-0258,2026-08-20,2030-08-20,BLOQUEADO
OP-2026-0260,2026-08-20,2031-08-20,DISPONIVEL
OP-2026-0262,2026-08-25,2031-08-25,DISPONIVEL
OP-2026-0265,2026-08-27,2031-08-27,DISPONIVEL
OP-2026-0266,2026-08-22,2029-08-22,DISPONIVEL
OP-2026-0268,2026-08-26,2031-08-26,DISPONIVEL
OP-2026-0271,2026-09-08,2031-09-08,DISPONIVEL
OP-2026-0275,2026-09-05,2031-09-05,DISPONIVEL
OP-2026-0276,2026-09-05,2031-09-05,DISPONIVEL
OP-2026-0277,2026-08-31,2029-08-28,DISPONIVEL
OP-2026-0278,2026-09-05,2031-09-05,DISPONIVEL
OP-2026-0279,2026-09-10,2031-09-10,DISPONIVEL
OP-2026-0281,2026-09-06,2030-09-06,DISPONIVEL
OP-2026-0282,2026-09-19,2029-09-19,DISPONIVEL
OP-2026-0284,2026-09-09,2027-09-09,DISPONIVEL
OP-2026-0285,2026-09-18,2031-09-18,DISPONIVEL
OP-2026-0286,2026-09-08,2027-09-08,DISPONIVEL
OP-2026-0287,2026-09-14,2031-09-14,BLOQUEADO
OP-2026-0288,2026-09-13,2031-09-13,DISPONIVEL
OP-2026-0289,2026-09-15,2031-09-15,DISPONIVEL
OP-2026-0367,2026-09-13,2027-09-13,DISPONIVEL
OP-2026-0291,2026-09-20,2031-09-20,DISPONIVEL
OP-2026-0292,2026-09-14,2027-09-14,DISPONIVEL
OP-2026-0293,2026-09-21,2031-09-21,DISPONIVEL
OP-2026-0294,2026-09-26,2031-09-26,DISPONIVEL
OP-2026-0295,2026-09-20,2031-09-20,DISPONIVEL
OP-2026-0296,2026-09-20,2031-09-20,DISPONIVEL
OP-2026-0297,2026-09-21,2031-09-21,DISPONIVEL
OP-2026-0299,2026-09-26,2031-09-26,DISPONIVEL
OP-2026-0300,2026-09-29,2031-09-28,DISPONIVEL
OP-2026-0301,2026-09-25,2031-09-25,DISPONIVEL
OP-2026-0305,2026-09-29,2029-09-28,DISPONIVEL
